,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
27048,487,New Zealand,South Africa,0,35,8,6.56,Johannesburg,129,88,44.0
2758,34,New Zealand,England,4,13,10,7.09,Wellington,196,109,43.0
24791,469,Bangladesh,Australia,0,0,10,0.0,Cape Town,123,119,43.0
34693,568,New Zealand,Pakistan,0,35,9,7.78,Barbados,133,93,43.0
28896,508,Australia,West Indies,0,35,7,5.83,London,169,84,46.0
52480,788,Pakistan,Australia,4,20,9,5.45,Mirpur,191,98,45.0
7068,88,India,South Africa,1,59,7,7.22,Centurion,188,71,46.0
23919,456,West Indies,England,2,166,3,8.51,London,169,3,43.0
15418,222,Australia,South Africa,0,157,6,9.42,Johannesburg,196,20,46.0
64591,963,Australia,Sri Lanka,4,199,8,12.31,Pallekele,263,23,52.0
522,10,New Zealand,Bangladesh,6,26,9,9.75,Mount Maunganui,195,104,47.0
64546,963,Australia,Sri Lanka,0,98,9,11.09,Pallekele,263,67,48.0
43924,665,Sri Lanka,England,2,106,7,7.48,Pallekele,169,35,51.0
45059,675,Pakistan,Bangladesh,1,116,4,6.63,Mirpur,135,15,51.0
5412,71,Pakistan,New Zealand,0,34,9,6.38,Mount Maunganui,181,88,50.0
21572,434,Pakistan,New Zealand,6,148,2,7.72,Auckland,153,5,47.0
64629,964,Sri Lanka,Australia,0,14,9,6.0,Colombo,128,106,47.0
59580,876,Pakistan,New Zealand,0,11,10,3.47,Auckland,171,101,47.0
54752,810,Sri Lanka,Bangladesh,5,67,8,9.35,Chittagong,168,77,45.0
22481,445,South Africa,New Zealand,0,59,10,9.32,Johannesburg,133,82,46.0
33625,557,India,South Africa,0,89,8,7.32,St Lucia,186,47,49.0
2412,31,New Zealand,Australia,1,33,7,4.95,Sydney,117,80,49.0
2785,34,New Zealand,England,1,51,9,8.27,Wellington,196,83,48.0
2374,31,New Zealand,Australia,1,6,10,9.0,Sydney,117,116,47.0
58600,868,England,Pakistan,0,32,9,7.68,Dubai,172,95,47.0
48974,734,South Africa,Sri Lanka,0,1,10,1.5,Colombo,115,116,51.0
60863,908,Pakistan,Bangladesh,0,198,5,10.07,Kolkata,201,2,51.0
28010,497,Australia,England,6,111,7,6.87,Manchester,145,23,52.0
55273,816,Pakistan,Australia,0,47,4,4.48,Dubai,96,57,52.0
17959,250,West Indies,India,0,70,3,4.62,Lauderhill,95,29,49.0
19655,307,England,Pakistan,1,53,9,6.24,Manchester,131,69,46.0
